3,5,11,29,31,34
21,22,25,31,37,45
4,14,15,35,42,44
6,7,11,13,37,38
4,14,21,29,31,41
1,6,8,17,31,47
9,14,25,27,30,40
8,11,12,27,30,35
20,21,28,30,42,43
3,7,12,18,23,26
8,25,31,36,39,45
12,20,22,41,44,47
10,14,31,35,38,43
17,26,32,37,40,41
5,13,21,25,27,37
8,15,16,24,25,38
5,6,7,12,21,27
4,8,9,25,42,45
2,16,23,26,43,46
3,7,38,41,44,46
4,14,22,37,42,45
8,16,32,33,45,49
6,18,33,42,48,49
7,9,14,22,29,46
2,25,27,30,36,46
13,21,33,36,37,48
9,11,20,38,39,44
7,16,19,38,39,42
7,33,39,46,48,49
5,16,28,32,33,42
11,13,21,45,46,47
16,20,36,38,39,42
6,7,30,31,37,38
3,10,22,33,34,37
3,25,33,40,47,49
2,12,14,20,21,40
18,23,27,30,33,42
9,12,18,40,42,45
3,5,14,28,30,47
3,25,31,36,43,46
4,19,27,31,36,47
18,20,28,34,39,40
4,11,23,37,40,41
6,10,13,28,33,41
8,11,13,24,48,49
10,12,26,34,41,45
12,17,35,36,40,47
10,29,30,41,45,47
9,11,15,19,20,37
11,12,23,24,40,42
23,40,42,43,45,49
7,14,18,33,46,49
1,4,24,30,45,48
6,18,29,34,40,49
7,9,22,25,32,46
5,7,30,33,46,47
7,15,16,28,29,47
13,18,27,33,35,37
2,9,19,21,35,42
1,10,15,24,31,33
5,8,20,22,46,48
3,6,15,39,46,47
3,33,38,39,41,45
6,14,18,23,37,43
13,15,22,28,40,47
8,10,21,28,30,34
5,30,31,38,40,46
5,13,15,19,25,27
19,25,26,28,31,39
3,4,6,11,23,34
7,9,11,17,28,39
1,9,15,23,34,36
17,22,30,31,43,44
9,32,35,38,42,43
4,25,33,40,42,44
8,12,13,27,29,47
1,21,27,29,30,38
14,19,27,34,36,49
11,15,28,36,41,48
2,17,18,30,35,40
7,13,19,33,39,45
1,30,33,40,41,47
3,8,11,16,23,24
5,14,17,23,38,44
5,14,15,17,20,34
5,6,11,12,13,49
8,19,25,33,43,44
1,16,17,21,33,47
3,9,20,21,22,43
15,19,23,29,37,48
2,3,7,25,40,47
9,15,18,35,47,48
4,7,8,11,28,43
2,3,7,22,46,47
6,18,30,36,40,48
1,7,11,39,42,44
1,5,10,42,44,49
3,5,18,24,26,49
7,11,20,33,39,46
13,17,28,42,44,49
